ItemId	Name	Description	ModelNumber
2139	Fortinet FC-10-F12HF-191-02-12 Domain Reputation Service FI-2HFTE22000021	Fortinet FC-10-F12HF-191-02-12 Domain Reputation Service FI-2HFTE22000021	FC-10-F12HF-191-02-12 
2140	Fortinet FC-10-F12HF-247-02-12 24X7 FortiCare Contract FI-2HFTE22000021	Fortinet FC-10-F12HF-247-02-12 24X7 FortiCare Contract FI-2HFTE22000021	FC-10-F12HF-247-02-12 
2141	Renewal of Forcepoint DLP	Renewal of ForcePoint DLP EndPoint FDLPEIP ForcePoint DLP EndPoint (IP Protection) SPRT Support Essential	FDLPEIP
2142	ForcePoint Remote MA Services	MA Services: ForcePoint Remote MA Services One Year Coverage with Unli Phone & Email Support (8x5) & Max of 10 Incidents and Quarterly Healthchecks	
2143	Renewal of ForcePoint Classify	"Renewal of ForcePoint Classify, Classify ForcePoint Classification Powered by Getvisibility SPRT Support Essential"	
2144	ForcePoint Remote MA Services	MA Services: SG-RMASERV-FP8 ForcePoint Remote MA Services: One Year Coverage with Unli Phone & Email Support (8x5) & Max of 10 Incidents and Quarterly Health Checks	SG-RMASERV-FP8
2175	Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online	Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online ESD (MSEP206604)	MSEP206604
2184	Microsoft Office Home and Business 2024	Microsoft Office Home and Business 2024 All Lng APAC EM Retail Online ESD (MSEP206604)	MSEP206604
2214	MS Support - NAV Dynamics NAV 2018	MS Support - NAV Dynamics NAV 2018 Support Services (10 MAN DAYS)	
2215	Webmarshal Service Agreement	Webmarshal Service Agreement (1 Year) 100 User License	
2216	Web-Lic MailMarshal Service Agreement	Web-Lic MailMarshal Service Agreement (1 Year) 100 User License	
2217	Cisco Duo Security Renewal with Sub ID: 1023047	Duo Beyond Cisco Standard Duo Beyond Edition	
2218	Duo Sub Cisco Duo Subscription	Duo Sub Cisco Duo Subscription	
2219	SVS-Duo-Sup-B Cisco Duo Basic Support	SVS-Duo-Sup-B Cisco Duo Basic Support	
2220	MS-Dynamic LIL Microsost DYN365 Business Central Premium	Includes: 20 Full Users  10 Central Team Users	
2221	Omnissa Workspace One Renewal with SID#4142237093	WSU-AWO-12PT0-C1S Omnissa Workspace One Advanced - SAAS - Per User Production Support - 12 Months Prepaid Renewal with SID#4142237093	WSU-AWO-12PT0-C1S
2222	Omissa HZ8-ADC 10-B1-1Y TLSS-C Omnissa - Horizon 8 Advanced Term with WF For VDI Edition:	Omissa HZ8-ADC 10-B1-1Y TLSS-C Omnissa - Horizon 8 Advanced Term with WF For VDI Edition: 10 Concurrent User Pack for 1 Year Term License; Includes Production Support/Subscription 4117532908	HZ8-ADC 10-B1-1Y TLSS-C 
2223	MS CFQ7TTC0LDPB 365 Business Standard Null	MS CFQ7TTC0LDPB 365 Business Standard Null	CFQ7TTC0LDPB 
2224	MS CFQ7TTC0LH3L - Power Automate Per User Plan Null	MS CFQ7TTC0LH3L - Power Automate Per User Plan Null	CFQ7TTC0LH3L 
